Region,Country or SR,P-Both,P-Male,P-Female,Rate,RNPI,Mdn-Age,Density,Child-D,Old-D
Ame-N,Canada,35940,17826,18114,1.04,3.64,40.55,3.95,35.25,26.02
Ame-N,United States of America,321774,159494,162280,0.75,4.36,38.01,35.18,42.44,24.72
Afr-S,Botswana,2262,1130,1132,1.99,18.06,24.25,3.99,76.29,6.58
Afr-S,Lesotho,2135,1057,1078,1.20,13.94,20.99,70.32,99.43,8.62
Afr-S,Namibia,2459,1197,1262,2.28,22.92,21.21,2.99,97.05,7.20
Afr-S,South Africa,54490,26797,27693,1.08,8.55,25.72,44.92,69.45,8.98
Afr-S,Swaziland,1287,636,651,1.51,16.10,20.51,74.82,102.51,7.53
Asi-W,Armenia,3018 ,1400 ,1618 ,0.36,4.29,34.65,106.00,37.48,16.69
Asi-W,Azerbaijan,9754 ,4856 ,4898 ,1.39,14.22,30.93,118.00,44.71,8.63
Asi-W,Bahrain,1377 ,854 ,524 ,1.76,13.04,30.30,1812.15,40.16,3.46
Asi-W,Cyprus,1165 ,594 ,571 ,1.09,4.69,35.93,126.11,36.02,20.05
Asi-W,Georgia,4000 ,1908 ,2092 ,-1.21,2.23,37.47,57.56,37.49,22.43
Asi-W,Iraq,36423 ,18437 ,17986 ,3.31,29.76,19.31,83.86,113.11,6.72
Asi-W,Israel,8064 ,3999 ,4065 ,1.66,16.12,30.26,372.64,66.88,21.13
Asi-W,Jordan,7595 ,3889 ,3706 ,3.06,24.01,22.50,85.54,89.62,7.46
Asi-W,Kuwait,3892 ,2186 ,1706 ,4.81,18.13,30.96,218.41,40.07,2.81
Asi-W,Lebanon,5851 ,2939 ,2912 ,5.99,10.35,28.51,571.92,57.43,13.94
Asi-W,Oman,4491 ,2979 ,1512 ,8.45,18.07,29.00,14.51,36.41,3.61
Asi-W,Qatar,2235 ,1624 ,612 ,4.72,10.63,30.69,192.54,26.10,1.51
Asi-W,Saudi Arabia,31540 ,17836 ,13704 ,2.32,17.44,28.32,14.67,60.48,4.73
Asi-W,State of Palestine,4668 ,2367 ,2302 ,2.75,29.46,19.30,775.49,113.49,6.51
Asi-W,Syrian Arab Republic,18502 ,9367 ,9136 ,-2.27,18.48,20.79,100.76,102.92,8.60
Asi-W,Turkey,78666 ,38675 ,39991 ,1.69,11.54,29.77,102.21,58.65,12.93
Asi-W,United Arab Emirates,9157 ,6708 ,2449 ,1.89,9.67,33.28,109.53,23.20,1.42
Asi-W,Yemen,26832 ,13553 ,13279 ,2.57,26.10,19.33,50.82,112.74,6.10