Region Name,Region,H-Exp,G-Exp,GCF,Exports,Imports,GDP
Eastern Africa,1,45301,12118,11751,11479,16227,64967
Middle Africa,2,26477,8275,6334,13919,11553,43433
Northern Africa,3,112202,29139,48839,47993,53939,183938
Southern Africa,4,72701,23996,22505,31133,26147,120044
Western Africa,5,59043,8951,11079,22519,18453,82595
Eastern Asia,7,2123656,534090,1314686,637430,586832,4039883
Central Asia,8,34442,8597,20894,12450,22382,53119
Southern Asia,9,345918,58495,140491,47737,69204,517386
South-Eastern Asia,10,203361,35747,118624,177021,179005,367243
Western Asia,11,295556,100454,106350,179718,156954,533895
Eastern Europe,13,459930,176096,258648,206662,206372,895866
Northern Europe,14,997098,368335,376760,491481,494231,1739504
Southern Europe,15,1141991,359562,447690,381179,418511,1916650
Western Europe,16,2206498,769210,902757,1156818,1150624,3881594
Northern America,18,4159291,1082365,1411326,702424,779215,6574664
Caribbean,20,58771,17221,19247,50355,51219,94390
Central America,21,244438,30807,90306,67987,72621,360928
South America,22,459973,114712,134069,96220,69810,744011
Oceania,24,220081,70357,89702,67638,69484,381249